Main,Topic,Lecture,Tutorial
ggplot,Basic ggplot,topics/ggplot/slide_gg1.html,topics/ggplot/lab_gg1.html
ggplot,Advanced ggplot,topics/ggplot/slide_gg2.html,topics/ggplot/lab_gg2.html
ggplot,PCA plot,,topics/ggplot/lab_pca.html
Others Day 1,Vector and Bitmap images,topics/others_day1/Vector_Bitmap_Images.pdf,
Others Day 1,Single-cell data,,
Quarto,Basic Quarto,topics/Quarto/slide_quarto1.html,
Quarto,Advanced Quarto,topics/Quarto/slide_quarto2.html,
Dynamic Plotting,Intro Dynamic plotting,topics/dynamic_plotting/slide_dynamic_plot1.html,
Dynamic Plotting,Advanced Dynamic plotting,,
Rshiny,Rshiny Part I,topics/Shiny/slide_shiny1.html,topics/Shiny/lab_shiny1.html
Rshiny,Rshiny Part II,topics/Shiny/slide_shiny2.html,topics/Shiny/lab_shiny2.html
Rshiny,Rshiny Part III,topics/Shiny/slide_shiny3.html,topics/Shiny/lab_shiny3.html
